episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
242,24,24,0.0,-0.008253918184588352,8.205561518669128,,,,,,,,,,,,0.0161759555436826,0.16653645876795053,0.3511085771024227,0.3233511845270793,0.2117713956783215,0.024359404472920277
244,24,24,0.0,-0.0006079672990987698,11.626567224661509,,,,,,,,,,,,0.014759118659033751,0.17288411470750967,0.35110416387518245,0.3233461044728756,0.22120145770410696,0.023622906626344625
246,24,24,0.0,-0.017536634361022152,10.408494194348654,,,,,,,,,,,,0.02407625623163767,0.24332682446887097,0.35117696101466817,0.3234422368307908,0.18802277619640032,0.02290867652767774
248,18,24,0.0,-0.0037636488883031737,7.657673544353909,,,,,,,,,,,,0.020610969403706905,0.22330729249450895,0.3510873383945889,0.323312532570627,0.18787741743856007,0.022216040919558106
250,24,24,0.0,-0.003898451190252672,7.057872434457143,,,,,,,,,,,,0.012053437026528021,0.14521484387417635,0.3504220110674699,0.3223768398165703,0.19752843491733074,0.021544346900318825
252,24,24,0.0,-0.011497676954604685,10.980090518792471,,,,,,,,,,,,0.018723518975699942,0.20898437624176344,0.3491436839103699,0.32059570277730626,0.21148648361365,0.0208929613085404
254,18,24,0.0,-0.00206844922569063,12.108875380622017,,,,,,,,,,,,0.0227990062493417,0.2437500005794896,0.3481737259361479,0.3192303429047267,0.18421800682942072,0.02026127012621143
256,24,24,0.0,-0.004648566944524646,12.91798746585846,,,,,,,,,,,,0.018946703795033198,0.20120442813883224,0.3473629417518775,0.3180793573458989,0.20130417123436928,0.019648677899934682
258,24,24,0.0,-0.010470936773344874,9.157726883888245,,,,,,,,,,,,0.021799264252573874,0.2295898450538516,0.34676314517855644,0.31722417101264,0.1978128831833601,0.019054607179632473
260,24,24,0.0,-0.006597565254196525,13.106839338938395,,,,,,,,,,,,0.015419059539757049,0.18274739601959786,0.34623055656750995,0.31646714980403584,0.18917227536439896,0.018478497974222907
262,18,24,0.0,-0.003973940283887916,13.143622292412651,,,,,,,,,,,,0.023499473890600104,0.23051215377118853,0.34487086203363204,0.31453488601578605,0.1920598496993383,0.017919807223753345
264,12,24,0.0,0.007711124295989673,14.580375989278158,,,,,,,,,,,,0.021776017189646762,0.23014322854578495,0.34406260897715885,0.3133845155437787,0.20269854242602983,0.017378008287493755
266,24,24,0.0,-0.007994058697173992,14.965829809506735,,,,,,,,,,,,0.017565404705237597,0.20120442736273011,0.34349308038751286,0.3125808835029602,0.2303967991222938,0.016852590447507514
268,18,24,0.0,0.00066505858881606,14.838661776648628,,,,,,,,,,,,0.025220121439714503,0.2547743072112401,0.3427043888303969,0.3114680035246743,0.216912599073516,0.01634305842723138
270,24,24,0.0,-0.010055808389248947,19.97831843296687,,,,,,,,,,,,0.016179747792193666,0.18968098983168602,0.34198526789744693,0.31044405698776245,0.22913362085819244,0.015848931924611124
272,24,24,0.0,-0.005506525747478008,11.811123112837473,,,,,,,,,,,,0.019701901959100116,0.20198567708333334,0.3412681284050147,0.3094177407522996,0.20789167657494545,0.015369745159352724
274,12,24,0.0,0.0070090404866884155,15.506006399790445,,,,,,,,,,,,0.02537426787118117,0.26731770920256775,0.3412400707602501,0.3093734532594681,0.20093211407462755,0.01490504643386196
276,24,24,0.0,-0.01009906574715084,12.457185566425323,,,,,,,,,,,,0.014538715486802781,0.1680664069329699,0.3408375022312005,0.30879613757133484,0.23224259788791338,0.014454397707459267
